Dates;Type;Price;Size
1/16/2023 2:52:27 PM;BEST_ASK;9.1;6924
1/16/2023 2:52:27 PM;TRADE;9.08;667
1/16/2023 2:52:27 PM;TRADE;9.08;363
1/16/2023 2:52:27 PM;BEST_BID;9.08;304
1/16/2023 2:52:27 PM;TRADE;9.08;414
1/16/2023 2:52:55 PM;TRADE;9.08;304
1/16/2023 2:52:55 PM;BEST_BID;8.9;282
1/16/2023 2:52:55 PM;BEST_ASK;9.08;396
1/16/2023 2:53:05 PM;BEST_BID;8.92;600
1/16/2023 2:56:18 PM;BEST_BID;8.96;170
1/16/2023 2:56:39 PM;BEST_ASK;9.1;4320
1/16/2023 2:56:39 PM;TRADE;9.08;396
1/16/2023 2:56:39 PM;TRADE;9.1;2604
1/16/2023 2:56:56 PM;BEST_BID;9;600
1/16/2023 2:58:52 PM;TRADE;9.1;700
1/16/2023 2:58:52 PM;BEST_ASK;9.1;3620
1/16/2023 3:18:27 PM;BEST_BID;8.96;170
1/16/2023 3:18:27 PM;BEST_ASK;9;50
1/16/2023 3:18:27 PM;TRADE;9;600
1/16/2023 3:18:41 PM;BEST_BID;9;650
1/16/2023 3:18:41 PM;BEST_ASK;9.1;3620
1/16/2023 3:18:41 PM;TRADE;9;50
1/16/2023 3:18:45 PM;BEST_BID;8.96;170
1/16/2023 3:18:59 PM;BEST_ASK;9.08;650
1/16/2023 3:32:15 PM;BEST_BID;9;170
1/16/2023 3:36:59 PM;BEST_ASK;9.08;1013
1/16/2023 3:40:23 PM;BEST_BID;9;1070
1/16/2023 3:48:19 PM;BEST_BID;9;170
1/16/2023 3:48:45 PM;TRADE;9.08;650
1/16/2023 3:48:45 PM;TRADE;9.08;250
1/16/2023 3:48:45 PM;BEST_ASK;9.08;113
1/16/2023 3:48:45 PM;BEST_ASK;9.1;3620
1/16/2023 3:49:54 PM;BEST_BID;9;820
1/16/2023 4:00:28 PM;BEST_ASK;9.1;3595
1/16/2023 4:00:28 PM;TRADE;9.1;25
1/16/2023 4:03:37 PM;BEST_BID;9.02;650
1/16/2023 4:05:18 PM;BEST_ASK;9.1;3425
1/16/2023 4:05:18 PM;TRADE;9.1;170
1/16/2023 4:20:00 PM;BEST_BID;9.02;650
1/16/2023 4:20:00 PM;BEST_ASK;9.1;3425
1/16/2023 4:20:44 PM;BEST_ASK;8.66;510
1/16/2023 4:21:52 PM;BEST_BID;9.02;450
1/16/2023 4:21:57 PM;BEST_BID;9.06;450
1/16/2023 4:25:12 PM;BEST_BID;8.94;491
1/16/2023 4:25:12 PM;BEST_ASK;9.1;3425
1/16/2023 4:25:12 PM;BEST_BID;8.94;491
1/16/2023 4:25:12 PM;BEST_ASK;9.1;3425
1/16/2023 4:25:12 PM;TRADE;8.94;450
1/16/2023 4:25:12 PM;TRADE;8.94;51
1/16/2023 4:25:12 PM;TRADE;8.94;9
1/16/2023 4:30:00 PM;BEST_BID;8.94;491
1/16/2023 4:30:00 PM;BEST_ASK;9.1;3425
1/16/2023 4:45:00 PM;TRADE;8.94;0
1/17/2023 3:01:04 AM;BEST_BID;7.9;4000
1/17/2023 3:01:04 AM;BEST_ASK;9.66;37949
1/17/2023 7:15:04 AM;BEST_BID;8.62;3300
1/17/2023 7:15:04 AM;BEST_ASK;9.28;3000
1/17/2023 8:15:47 AM;BEST_ASK;8.94;125
1/17/2023 8:16:28 AM;BEST_BID;8.62;3800
1/17/2023 8:38:19 AM;BEST_BID;8.68;841
1/17/2023 8:50:13 AM;BEST_BID;8.7;600
1/17/2023 8:50:19 AM;BEST_BID;9.06;120
1/17/2023 9:00:05 AM;BEST_BID;8.96;1
1/17/2023 9:00:05 AM;BEST_ASK;9.38;3000
1/17/2023 9:00:05 AM;BEST_BID;8.7;600
1/17/2023 9:00:05 AM;TRADE;8.96;120
1/17/2023 9:00:05 AM;TRADE;8.96;4
1/17/2023 9:00:05 AM;TRADE;8.96;1
1/17/2023 9:00:47 AM;BEST_BID;8.9;100
1/17/2023 9:01:07 AM;BEST_ASK;9.2;490
1/17/2023 9:02:50 AM;BEST_ASK;9.2;480
1/17/2023 9:02:50 AM;TRADE;9.2;10
1/17/2023 9:03:31 AM;BEST_BID;8.92;600
1/17/2023 9:04:26 AM;TRADE;9.2;100
1/17/2023 9:04:26 AM;BEST_ASK;9.2;380
1/17/2023 9:04:32 AM;BEST_BID;8.98;100
1/17/2023 9:07:25 AM;BEST_BID;9.3;320
